date,price,volume,,
1682899289,29249.45042,0.248620783,,
1682899304,29258.50098,0.055,,
1682899471,29263.42241,0.11,,
1682899591,29269.5993,0.456567072,,
1682901915,29293.59304,0.1,,
1682902157,29298.74129,0.283189123,,
1682902510,29305.29555,0.05,,
1682903524,29299.67369,0.15,,
1682903740,29296.32051,0.030689861,,
1682903893,29292.75717,0.157511504,,
1682903953,29284.32202,0.175612888,,
1682903968,29277.84022,0.055,,
1682903998,29275.65837,0.018059585,,
1682904103,29273.47681,0.055,,
1682904283,29263.56933,0.610719351,,
1682904298,29228.99542,0.05,,
1682904780,29229.14373,0.055,,
1682905101,29187.77713,0.763607231,,
1682905116,29120.7905,0.406207794,,
1682905131,29079.05399,0.310318118,,
1682905146,28960.89674,0.906157139,,
1682905161,28844.29775,0.228242531,,
1682905176,28787.01561,0.106956099,,
1682905191,28767.15001,0.002280922,,
1682905236,28768.40091,0.004314657,,
1682905296,28769.25404,0.000183413,,
1682905327,28769.46291,0.000917787,,
1682905372,28769.66598,0.000152846,,
1682905417,28769.7155,0.000108196,,
1682905447,28759.11805,0.056,,
1682905462,28737.89779,0.056,,
1682905507,28705.98337,0.112693056,,
1682905598,28674.11613,0.056,,
1682905779,28674.11613,0.056,,
1682905839,28674.11613,0.056,,
1682905854,28635.2829,0.15,,
1682905869,28589.94045,0.091,,
1682905884,28525.82027,0.258,,
1682905945,28479.67627,0.000463563,,
1682906007,28489.75874,0.056,,
1682906052,28499.77576,7.71469E-05,,
1682906082,28499.7993,5.46103E-05,,
1682906112,28500.01477,0.001151151,,
1682906142,28500.6096,0.002177599,,
1682906158,28501.01529,9.25694E-05,,
1682906447,29160.70258,1.257377112,,
1682906537,28511.65114,0.112,,
1682906552,28538.22577,0.168,,
1682906567,28559.68457,0.056,,
1682906627,28570.5932,0.056,,
1682906642,28581.50808,0.056,,
1682907125,28592.42922,0.056,,
1682907185,28613.12028,0.156,,
1682907231,28646.12856,0.181747651,,
1682907953,28658.42978,0.056,,
1682907998,28646.11254,0.069887389,,
1682908013,28636.71833,0.026175316,,
1682908122,28628.68637,0.056,,
1682909940,28617.75622,0.16094192,,
1682909955,28606.03886,0.253940876,,
1682910000,28582.80231,0.012183774,,
1682910574,28576.20802,0.168,,
1682910819,28563.92615,0.350999948,,
1682910925,28535.614,0.055,,
1682910940,28522.14995,0.368059428,,
1682910956,28493.37463,0.026292041,,
1682911062,28502.50141,0.322,,
1682911168,28525.6472,0.319,,
1682911183,28544.76407,0.793923732,,
1682911229,28612.12898,0.056,,
1682911244,28608.75527,0.036,,
1682911259,28605.3822,0.056,,
1682911321,28595.5644,0.336973306,,
1682911705,28571.32219,0.056,,
1682915877,28571.32219,0.056,,
1682915892,28567.22587,0.056,,
1682917560,28568.5274,0.091586994,,
1682917576,28576.2102,0.118436939,,
1682917591,28583.85693,0.09052073,,
1682917607,28592.58731,0.147940047,,
1682917622,28602.94443,0.134818267,,
1682918050,28614.32114,0.658674516,,
1682918698,28669.17936,0.120615784,,
1682918728,28656.94244,0.078912558,,
1682918743,28648.49842,0.026177461,,
1682918880,28643.60407,0.082181304,,
1682918942,28638.02179,0.082186408,,
1682918974,28632.49472,0.31391688,,
1682919004,28608.52673,0.068221708,,
1682919019,28601.35725,0.211129462,,
1682919079,28585.82672,0.026235897,,
1682919157,28583.90561,0.02623766,,
1682919219,28581.98456,0.026239423,,
1682919355,28576.21151,0.224256408,,
1682919385,28543.24404,0.424011181,,
1682919445,28524.83661,0.15,,
1682919476,28536.57941,0.026279759,,
1682919718,28518.14222,0.168,,
1682919733,28433.08303,0.731308779,,
1682919778,28386.11363,0.23322154,,
1682919838,28413.39714,0.057,,
1682919900,28424.15532,0.057,,
1682919992,28438.42116,0.114,,
1682920022,28456.20168,0.114,,
1682920760,28455.77362,0.637858132,,
1682920791,28469.51984,0.057,,
1682921265,28473.15539,0.056,,
1682921280,28478.36418,0.112,,
1682921295,28483.57423,0.056,,
1682921312,28487.04844,0.056,,
1682921342,28491.29904,0.081,,
1682921357,28494.83851,0.493615242,,
1682922386,28529.41773,0.089028719,,
1682922402,28528.95211,0.103996351,,
1682922493,28522.21924,0.231133821,,
1682922554,28542.13693,0.18064081,,
1682923642,28551.56407,0.108357477,,
1682923703,28557.5255,0.08180453,,
1682923888,28561.69621,0.051,,
1682923918,28565.05724,0.056,,
1682924329,28568.57595,0.056,,
1682924376,28575.78411,0.803413178,,
1682924408,28588.43793,0.090272714,,
1682924468,28631.8126,0.090272714,,
1682924724,28667.3747,1.194292359,,
1682925012,28692.6756,0.278773718,,
1682925177,28681.45288,0.321673104,,
1682926223,28653.89051,0.1,,
1682926496,28648.79138,0.05,,
1682926875,28645.5126,0.05,,
1682928553,28643.41033,0.226787118,,
1682928598,28637.78836,0.020778096,,
1682928676,28627.78252,0.020778096,,
1682929027,28625.17675,0.056,,
1682929105,28621.37619,0.056,,
1682930190,28627.74307,0.262065208,,
1682931050,28634.24493,0.056,,
1682931110,28630.71048,0.056,,
1682931125,28627.17667,0.056,,
1682932169,28623.64352,0.056,,
1682932184,28620.67869,0.038,,
1682932938,28622.7289,0.10300132,,
1682932953,28628.7389,0.102162036,,
1682932983,28634.32178,0.056,,
1682932998,28643.15438,0.204068307,,
