date,price,,,
1682899200,29225.36643,,,
1682899260,29249.85929,,,
1682899320,29274.65857,,,
1682899380,29221.34643,,,
1682899440,29264.28905,,,
1682899500,29294.57048,,,
1682899560,29289.65881,,,
1682899620,29291.65786,,,
1682899680,29314.11929,,,
1682899740,29301.45905,,,
1682899800,29310.77429,,,
1682899860,29314.6469,,,
1682899920,29298.71833,,,
1682899980,29289.06452,,,
1682900040,29281.68167,,,
1682900100,29289.68286,,,
1682900160,29308.08024,,,
1682900220,29311.43024,,,
1682900280,29309.92786,,,
1682900340,29312.95762,,,
1682900400,29278.77905,,,
1682900460,29273.15881,,,
1682900520,29287.69024,,,
1682900580,29278.94024,,,
1682900640,29290.845,,,
1682900700,29294.08286,,,
1682900760,29294.39333,,,
1682900820,29289.47548,,,
1682900880,29272.12595,,,
1682900940,29302.40833,,,
1682901000,29300.97167,,,
1682901060,29294.03357,,,
1682901120,29292.36976,,,
1682901180,29291.79024,,,
1682901240,29301.45595,,,
1682901300,29297.95405,,,
1682901360,29290.155,,,
1682901420,29291.14952,,,
1682901480,29307.56214,,,
1682901540,29293.21143,,,
1682901600,29304.58262,,,
1682901660,29300.62881,,,
1682901720,29290.89524,,,
1682901780,29293.11333,,,
1682901840,29298.06262,,,
1682901900,29303.54952,,,
1682901960,29298.99262,,,
1682902020,29285.90429,,,
1682902080,29285.33214,,,
1682902140,29298.61738,,,
1682902200,29317.21952,,,
1682902260,29315.21452,,,
1682902320,29303.09833,,,
1682902380,29300.11762,,,
1682902440,29294.87643,,,
1682902500,29286.24571,,,
1682902560,29290.98095,,,
1682902620,29296.06786,,,
1682902680,29296.13167,,,
1682902740,29298.32714,,,
1682902800,29313.79786,,,
1682902860,29301.3919,,,
1682902920,29301.13429,,,
1682902980,29312.41071,,,
1682903040,29312.64357,,,
1682903100,29312.26786,,,
1682903160,29302.73762,,,
1682903220,29301.09381,,,
1682903280,29296.04833,,,
1682903340,29295.24262,,,
1682903400,29288.10167,,,
1682903460,29288.16405,,,
1682903520,29255.06833,,,
1682903580,29256.66929,,,
1682903640,29248.41452,,,
1682903700,29256.95,,,
1682903760,29256.67833,,,
1682903820,29270.4969,,,
1682903880,29238.87429,,,
1682903940,29244.58714,,,
1682904000,29219.27857,,,
1682904060,29236.08524,,,
1682904120,29223.42095,,,
1682904180,29222.51071,,,
1682904240,29217.12952,,,
1682904300,29199.99167,,,
1682904360,29190.12167,,,
1682904420,29219.83571,,,
1682904480,29228.63905,,,
1682904540,29236.92357,,,
1682904600,29250.41571,,,
1682904660,29240.29286,,,
1682904720,29238.18976,,,
1682904780,29257.92738,,,
1682904840,29253.75262,,,
1682904900,29234.34262,,,
1682904960,29225.94476,,,
1682905020,29228.0631,,,
1682905080,29216.87929,,,
1682905140,28995.10548,,,
1682905200,28781.85143,,,
1682905260,28748.21405,,,
1682905320,28756.13,,,
1682905380,28759.4469,,,
1682905440,28723.09738,,,
1682905500,28680.82595,,,
1682905560,28674.4431,,,
1682905620,28653.7081,,,
1682905680,28678.95976,,,
1682905740,28636.4069,,,
1682905800,28679.91095,,,
1682905860,28637.08595,,,
1682905920,28473.56214,,,
1682905980,28497.10429,,,
1682906040,28523.53476,,,
1682906100,28489.26738,,,
1682906160,28500.64143,,,
1682906220,28477.65857,,,
1682906280,28495.84286,,,
1682906340,28484.12286,,,
1682906400,28505.33048,,,
1682906460,28459.85857,,,
1682906520,28507.25405,,,
1682906580,28578.32476,,,
1682906640,28589.76929,,,
1682906700,28599.87048,,,
1682906760,28567.43833,,,
1682906820,28563.63214,,,
1682906880,28569.90262,,,
1682906940,28575.72119,,,
