date,price,volume
1682899200,29223,1550.598
1682899260,29240.6,1066.284
1682899320,29263.9,1222.447
1682899380,29199.7,420.696
1682899440,29257.5,969.538
1682899500,29287.3,683.581
1682899560,29275.8,669.661
1682899620,29284.4,473.191
1682899680,29302.3,271.218
1682899740,29287.8,282.491
1682899800,29299.7,205.189
1682899860,29308.1,147.127
1682899920,29285.9,162.763
1682899980,29281.6,189.084
1682900040,29271.4,260.519
1682900100,29280.7,276.703
1682900160,29297.2,92.44
1682900220,29297.7,311.154
1682900280,29298.9,372.409
1682900340,29304.7,393.855
1682900400,29267.9,211.683
1682900460,29265,261.773
1682900520,29279.1,118.416
1682900580,29269.9,241.219
1682900640,29280.9,82.757
1682900700,29282.9,207.648
1682900760,29283,108.602
1682900820,29274.6,298.128
1682900880,29260,418.49
1682900940,29287.1,190.281
1682901000,29290,109.209
1682901060,29279.1,103.458
1682901120,29278.9,75.844
1682901180,29278.7,355.938
1682901240,29290.3,99.412
1682901300,29284.5,85.237
1682901360,29278.6,177.907
1682901420,29276.3,244.002
1682901480,29295.9,128.477
1682901540,29282.1,61.304
1682901600,29294.8,86.484
1682901660,29288,78.536
1682901720,29277.2,509.817
1682901780,29276.2,147.799
1682901840,29288.1,102.13
1682901900,29292,95.879
1682901960,29284.4,179.9
1682902020,29272.7,53.092
1682902080,29274.8,80.121
1682902140,29289.8,548.04
1682902200,29307.7,216.199
1682902260,29305.9,193.888
1682902320,29293.2,50.853
1682902380,29286,95.301
1682902440,29280,226.495
1682902500,29274.1,96.835
1682902560,29280.5,87.459
1682902620,29283.7,45.977
1682902680,29282.1,54.826
1682902740,29285.8,175.566
1682902800,29303.3,152.942
1682902860,29286.1,28.156
1682902920,29286.2,117.698
1682902980,29301.5,74.551
1682903040,29299.9,37.771
1682903100,29295.9,84.585
1682903160,29288.2,74.795
1682903220,29288.5,48.48
1682903280,29280,86.412
1682903340,29281.1,58.698
1682903400,29273,119.804
1682903460,29275.1,706.796
1682903520,29239.6,269.7
1682903580,29245.7,172.31
1682903640,29234.7,127.947
1682903700,29245.9,245.376
1682903760,29246.7,152.47
1682903820,29259.5,267.125
1682903880,29224.7,145.345
1682903940,29230,406.759
1682904000,29207.3,247.17
1682904060,29225,156.369
1682904120,29212.4,128.537
1682904180,29210.9,223.243
1682904240,29206.7,545.335
1682904300,29189.8,423.252
1682904360,29176.9,431.928
1682904420,29218,132.531
1682904480,29218.1,148.19
1682904540,29226.8,108.636
1682904600,29239.2,190.813
1682904660,29230,97.323
1682904720,29225.4,158.771
1682904780,29250,109.986
1682904840,29241.3,150.087
1682904900,29224.8,132.586
1682904960,29212.8,150.973
1682905020,29212.8,219.331
1682905080,29202.5,9444.294
1682905140,28980.9,12472.833
1682905200,28760.9,4460.406
1682905260,28736.7,2288.42
1682905320,28733.5,1196.222
1682905380,28740.7,1592.226
1682905440,28695.8,4446.813
1682905500,28664.9,3302.334
1682905560,28662.7,2396.309
1682905620,28648.6,1351.813
1682905680,28669.6,877.245
1682905740,28620,1351.435
1682905800,28670.1,2403.404
1682905860,28628,11219.881
1682905920,28460.7,2136.824
1682905980,28482.5,1290.684
1682906040,28503.6,1030.731
1682906100,28473.2,1294.44
1682906160,28488.7,1032.579
1682906220,28458,963.197
1682906280,28484.6,668.073
1682906340,28468.9,660.825
1682906400,28488.2,2403.597
1682906460,28440.7,1306.074
1682906520,28492.8,2316.072
1682906580,28566.5,1219.961
1682906640,28577.4,1058.506
1682906700,28575.7,1295.654
1682906760,28551.9,859.173
1682906820,28546.7,418.845
1682906880,28552.8,325.338
1682906940,28560.3,451.042
1682907000,28579.8,399.028
1682907060,28555.4,1093.032
1682907120,28597.4,1005.658
1682907180,28592.7,1740.418
1682907240,28659.6,693.24
1682907300,28617.8,859.798
1682907360,28598.6,762.234
1682907420,28617,367.502
1682907480,28634.1,309.402
1682907540,28648.9,378.112
1682907600,28647.6,563.489
1682907660,28618,438.911
1682907720,28628.6,423.67
1682907780,28601.2,423.01
1682907840,28619.2,488.801
1682907900,28590.4,572.801
1682907960,28577.2,760.065
1682908020,28561.9,948.896
1682908080,28597.1,1502.712
1682908140,28554.7,182.647
1682908200,28567.8,537.287
1682908260,28610.1,389.567
1682908320,28610.7,192.483
1682908380,28620,236.341
1682908440,28607,267.292
1682908500,28612,251.826
1682908560,28609.4,954.432
1682908620,28602.6,243.361
1682908680,28587.3,251.196
1682908740,28593.6,192.336
1682908800,28603.9,391.683
1682908860,28576.6,136.243
1682908920,28573.7,120.61
1682908980,28581.6,313.783
1682909040,28575.6,125.684
1682909100,28566.1,231.963
1682909160,28586.3,194.381
1682909220,28595.7,171.078
1682909280,28599.5,167.486
1682909340,28599.5,118.513
1682909400,28588.7,197.408
1682909460,28570.5,277.232
1682909520,28565,253.586
1682909580,28555.3,204.579
1682909640,28568.6,454.857
1682909700,28550,223.301
1682909760,28557.4,221.3
1682909820,28554.9,183.314
1682909880,28553.8,182.261
1682909940,28544.3,890.313
1682910000,28535,434.995
1682910060,28526.2,260.162
1682910120,28535.6,156.577
1682910180,28539.8,158.223
1682910240,28543.9,84.189
1682910300,28542.8,323.199
1682910360,28523.7,160.14
1682910420,28520.1,297.124
1682910480,28525.1,256.014
1682910540,28519.5,1267.57
1682910600,28519.9,528.24
1682910660,28501,481.05
1682910720,28514.6,294.838
1682910780,28490,504.29
1682910840,28479.2,863.135
1682910900,28467,804.44
1682910960,28435.6,780.015
1682911020,28447,1180.131
1682911080,28511.7,454.814
1682911140,28512.9,406.582
1682911200,28538,329.255
1682911260,28516.1,118.237
1682911320,28516.6,115.157
1682911380,28511.1,192.308
1682911440,28521.1,163.833
1682911500,28521.9,243.224
1682911560,28519.1,362.754
1682911620,28542.9,309.403
1682911680,28558.4,763.565
1682911740,28577,300.056
1682911800,28573,425.146
1682911860,28544.2,146.18
1682911920,28550.3,165.752
1682911980,28552.2,168.925
1682912040,28555,146.459
1682912100,28552.3,297.875
1682912160,28541.2,184.464
1682912220,28543.5,100.323
1682912280,28548.8,148.42
1682912340,28557.9,117.145
1682912400,28570.4,204.851
1682912460,28561.6,95.048
1682912520,28568.1,132.186
1682912580,28573.9,145.709
1682912640,28575.8,72.735
1682912700,28572.3,277.044
1682912760,28552,190.491
1682912820,28552.9,145.955
1682912880,28555.9,287.012
1682912940,28574.8,251.9
1682913000,28558.1,314.46
1682913060,28526.4,184.209
1682913120,28532.2,86.971
1682913180,28530.7,94.408
1682913240,28542,138.725
1682913300,28553.3,122.425
1682913360,28541.7,66.429
1682913420,28544.6,90.616
1682913480,28538.5,78.283
1682913540,28549,69.881
1682913600,28545.6,221.732
1682913660,28533.2,554.972
1682913720,28550.8,248.334
1682913780,28560,109.106
1682913840,28554.8,94.174
1682913900,28555.4,58.422
1682913960,28550.4,421.598
1682914020,28571.1,222.717
1682914080,28565.2,106.894
1682914140,28556.7,63.517
1682914200,28550,135.985
1682914260,28551.1,90.262
1682914320,28548.7,94.057
1682914380,28555.3,43.164
1682914440,28552.5,85.024
1682914500,28548.5,211.379
1682914560,28545.4,94.024
1682914620,28539.6,67.72
1682914680,28536.2,225.127
1682914740,28549.5,90.209
1682914800,28531.9,234.664
1682914860,28519.2,241.622
1682914920,28508.4,514.983
1682914980,28507.3,211.436
1682915040,28507.7,148.474
1682915100,28500.8,197.46
1682915160,28507.8,320.295
1682915220,28511.4,196.446
1682915280,28530.1,136.271
1682915340,28530,66.057
1682915400,28530.1,149.477
1682915460,28521.8,80.625
1682915520,28520.7,102.168
1682915580,28519.2,90.274
1682915640,28532.5,151.492
1682915700,28535.5,341.79
1682915760,28500.9,285.511
1682915820,28495.8,251.84
1682915880,28488.1,406.579
1682915940,28503.4,453.362
1682916000,28531.4,399.798
1682916060,28513,189.712
1682916120,28504.7,96.399
1682916180,28504.3,230.373
1682916240,28475.8,272.77
1682916300,28489.2,139.115
1682916360,28478.7,105.91
1682916420,28488.1,95.402
1682916480,28498,102.218
1682916540,28502.5,151.266
1682916600,28513.8,172.982
1682916660,28503.6,102.617
1682916720,28511.3,60.907
1682916780,28509.1,47.008
1682916840,28511.6,67.201
1682916900,28509.1,96.745
1682916960,28509.1,64.681
1682917020,28511.3,114.972
1682917080,28526.6,167.832
1682917140,28536.4,161.578
1682917200,28543.7,318.99
1682917260,28527.8,151.35
1682917320,28520,219.901
1682917380,28531.5,285.528
1682917440,28552.4,454.36
1682917500,28562.4,408.691
1682917560,28571.3,888.207
1682917620,28603.1,443.978
1682917680,28615.1,219.167
1682917740,28601.2,376.22
1682917800,28597.9,335.231
1682917860,28572.1,201.98
1682917920,28574.9,165.199
1682917980,28594.7,252.595
1682918040,28609,247.264
1682918100,28615.3,490.614
1682918160,28595.3,126.79
1682918220,28604.2,133.782
